jaspar_matrix	jaspar_id	uniprot_id
MA0627.2	POU2F3	Q9UKI9
MA0628.1	POU6F1	Q14863
MA0629.1	Rhox11	Q810N8
MA0630.1	SHOX	O15266
MA0631.1	Six3	Q62233
MA0632.2	TCFL5	Q9UL49
MA0633.1	Twist2	Q9D030
MA0634.1	ALX3	O95076
MA0635.1	BARHL2	Q9NY43
MA0636.1	BHLHE41	Q9C0J9
MA0637.1	CENPB	P07199
MA0638.1	CREB3	O43889
MA0639.1	DBP	Q10586
MA0640.2	ELF3	P78545
MA0641.1	ELF4	Q99607
MA0642.1	EN2	P19622
MA0643.1	Esrrg	P62509
MA0644.1	ESX1	Q8N693
MA0645.1	ETV6	P41212
MA0646.1	GCM1	Q9NP62
MA0647.1	GRHL1	Q9NZI5
MA0648.1	GSC	P56915
MA0649.1	HEY2	Q9UBP5
MA0650.2	HOXA13	P31271
MA0651.1	HOXC11	O43248
MA0652.1	IRF8	Q02556
MA0653.1	IRF9	Q00978
MA0654.1	ISX	Q2M1V0
MA0655.1	JDP2	Q8WYK2
MA0656.1	JDP2(var.2)	Q8WYK2
MA0657.1	KLF13	Q9Y2Y9
MA0658.1	LHX6	Q9UPM6
MA0659.2	MAFG	O15525
MA0660.1	MEF2B	Q02080
MA0661.1	MEOX1	P50221
MA0662.1	MIXL1	Q9H2W2
MA0663.1	MLX	Q9UH92
MA0664.1	MLXIPL	Q9NP71
MA0665.1	MSC	O60682
MA0666.1	MSX1	P28360
MA0667.1	MYF6	P23409
MA0668.1	NEUROD2	Q15784
MA0669.1	NEUROG2	Q9H2A3
MA0670.1	NFIA	Q12857
MA0671.1	NFIX	Q14938
MA0672.1	NKX2-3	Q8TAU0
MA0673.1	NKX2-8	O15522
MA0674.1	NKX6-1	P78426
MA0675.1	NKX6-2	Q9C056
MA0676.1	Nr2e1	Q9Y466
MA0677.1	Nr2f6	P43136
MA0678.1	OLIG2	Q13516
MA0679.2	ONECUT1	Q9UBC0
MA0680.1	PAX7	P23759
MA0681.2	PHOX2B	Q99453
MA0682.2	PITX1	P78337
MA0683.1	POU4F2	Q12837
MA0684.2	RUNX3	Q13761
MA0685.1	SP4	Q02446
MA0686.1	SPDEF	O95238
MA0687.1	SPIC	Q8N5J4
MA0688.1	TBX2	Q13207
MA0689.1	TBX20	Q9UMR3
MA0690.1	TBX21	Q9UL17
MA0691.1	TFAP4	Q01664
MA0692.1	TFEB	P19484
MA0693.2	VDR	P11473
MA0694.1	ZBTB7B	O15156
MA0695.1	ZBTB7C	A1YPR0
MA0696.1	ZIC1	Q15915
MA0697.1	ZIC3	O60481
MA0698.1	ZBTB18	Q99592
MA0699.1	LBX2	Q6XYB7
MA0700.2	LHX2	P50458
MA0701.2	LHX9	Q9NQ69
MA0702.2	LMX1A	Q8TE12
MA0703.2	LMX1B	O60663
MA0704.1	Lhx4	P53776
MA0705.1	Lhx8	O35652
MA0706.1	MEOX2	Q6FHY5
MA0707.1	MNX1	P50219
MA0708.1	MSX2	P35548
MA0709.1	Msx3	P70354
MA0710.1	NOTO	A8MTQ0
MA0711.1	OTX1	P32242
MA0712.2	OTX2	P32243
MA0713.1	PHOX2A	O14813
MA0714.1	PITX3	O75364
MA0715.1	PROP1	O75360
MA0716.1	PRRX1	P54821
MA0717.1	RAX2	Q96IS3
MA0718.1	RAX	Q9Y2V3
MA0719.1	RHOXF1	Q8NHV9
MA0720.1	Shox2	P70390
MA0721.1	UNCX	A6NJT0
MA0722.1	VAX1	Q5SQQ9
MA0723.1	VAX2	Q9UIW0
MA0724.1	VENTX	O95231
MA0725.1	VSX1	Q9NZR4
MA0726.1	VSX2	P58304
MA0727.1	NR3C2	P08235
MA0728.1	Nr2f6(var.2)	P43136
MA0729.1	RARA	P10276
MA0730.1	RARA(var.2)	P10276
MA0731.1	BCL6B	A8KA13
MA0732.1	EGR3	Q06889
MA0733.1	EGR4	Q05215
MA0734.2	GLI2	P10070
MA0735.1	GLIS1	Q8NBF1
MA0736.1	GLIS2	Q9BZE0
MA0737.1	GLIS3	Q8NEA6
MA0738.1	HIC2	Q96JB3
MA0739.1	Hic1	Q9R1Y5
MA0740.1	KLF14	Q8TD94
MA0741.1	KLF16	Q9BXK1
MA0742.1	Klf12	O35738
MA0743.2	SCRT1	Q9BWW7
MA0744.2	SCRT2	Q9NQ03
MA0745.2	SNAI2	O43623
MA0746.2	SP3	Q02447
MA0747.1	SP8	Q8IXZ3
MA0748.2	YY2	O15391
MA0749.1	ZBED1	O96006
MA0750.2	ZBTB7A	O95365
MA0751.1	ZIC4	Q8N9L1
MA0752.1	ZNF410	Q86VK4
MA0753.2	ZNF740	Q8NDX6
MA0754.1	CUX1	P39880
MA0755.1	CUX2	O14529
MA0756.1	ONECUT2	O95948
MA0757.1	ONECUT3	O60422
MA0758.1	E2F7	Q96AV8
MA0759.1	ELK3	P41970
MA0760.1	ERF	P50548
MA0761.2	ETV1	P50549
MA0762.1	ETV2	Q3KNT2
MA0763.1	ETV3	P41162
MA0764.2	ETV4	P43268
MA0765.2	ETV5	P41161
MA0766.2	GATA5	Q9BWX5
MA0767.1	GCM2	O75603
MA0768.1	LEF1	Q9UJU2
MA0769.2	TCF7	P36402
MA0770.1	HSF2	Q03933
MA0771.1	HSF4	Q9ULV5
MA0772.1	IRF7	Q92985
MA0773.1	MEF2D	Q05BX2
MA0774.1	MEIS2	O14770
MA0775.1	MEIS3	Q99687
MA0776.1	MYBL1	P10243
MA0777.1	MYBL2	P10244
MA0778.1	NFKB2	Q00653
MA0779.1	PAX1	P15863
MA0780.1	PAX3	P23760
MA0781.1	PAX9	P55771
MA0782.2	PKNOX1	P55347
MA0783.1	PKNOX2	Q96KN3
MA0784.1	POU1F1	P28069
MA0785.1	POU2F1	P14859
MA0786.1	POU3F1	Q03052
MA0787.1	POU3F2	P20265
MA0788.1	POU3F3	P20264
MA0789.1	POU3F4	P49335
MA0790.1	POU4F1	Q01851
MA0791.1	POU4F3	Q15319
MA0792.1	POU5F1B	Q06416
MA0793.1	POU6F2	P78424
MA0794.1	PROX1	Q92786
MA0795.1	SMAD3	P84022
MA0796.1	TGIF1	Q15583
MA0797.1	TGIF2	Q9GZN2
MA0798.2	RFX3	P48380
MA0799.1	RFX4	Q33E94
MA0800.1	EOMES	O95936
MA0801.1	MGA	Q8IWI9
MA0802.1	TBR1	Q16650
MA0803.1	TBX15	Q96SF7
MA0804.1	TBX19	O60806
MA0805.1	TBX1	O43435
MA0806.1	TBX4	P57082
MA0807.1	TBX5	Q99593
MA0808.1	TEAD3	Q99594
MA0809.2	TEAD4	Q15561
MA0810.1	TFAP2A(var.2)	P05549
MA0811.1	TFAP2B	Q92481
MA0812.1	TFAP2B(var.2)	Q92481
MA0813.1	TFAP2B(var.3)	Q92481
MA0814.2	TFAP2C(var.2)	Q92754
MA0815.1	TFAP2C(var.3)	Q92754
MA0816.1	Ascl2	O35885
MA0817.1	BHLHE23	Q8NDY6
MA0818.1	BHLHE22	Q8NFJ8
MA0819.1	CLOCK	O15516
MA0820.1	FIGLA	Q6QHK4
MA0821.1	HES5	Q5TA89
MA0822.1	HES7	Q9BYE0
MA0823.1	HEY1	Q9Y5J3
MA0825.1	MNT	Q99583
MA0826.1	OLIG1	Q8TAK6
MA0827.1	OLIG3	Q7RTU3
MA0828.1	SREBF2(var.2)	Q12772
MA0829.2	SREBF1(var.2)	P36956
MA0830.2	TCF4	P15884
MA0831.2	TFE3	P19532
MA0832.1	Tcf21	O35437
MA0833.2	ATF4	P18848
MA0834.1	ATF7	P17544
MA0835.2	BATF3	Q9NR55
MA0836.2	CEBPD	P49716
MA0837.1	CEBPE	Q15744
MA0838.1	CEBPG	P53567
MA0839.1	CREB3L1	Q96BA8
MA0840.1	Creb5	Q8K1L0
MA0841.1	NFE2	Q16621
MA0842.2	NRL	P54845
MA0843.1	TEF	Q10587
MA0844.1	XBP1	P17861
MA0845.1	FOXB1	Q99853
MA0846.1	FOXC2	Q99958
MA0847.2	FOXD2	O60548
MA0848.1	FOXO4	P98177
MA0849.1	FOXO6	A8MYZ6
MA0850.1	FOXP3	B7ZLG1
MA0851.1	Foxj3	Q8BUR3
MA0852.2	FOXK1	P85037
MA0853.1	Alx4	O35137
MA0854.1	Alx1	Q8C8B0
MA0855.1	RXRB	P28702
MA0856.1	RXRG	P48443
MA0857.1	Rarb	P22605
MA0858.1	Rarb(var.2)	P22605
MA0859.1	Rarg	P18911
MA0860.1	Rarg(var.2)	P18911
MA0861.1	TP73	O15350
MA0862.1	GMEB2	Q9UKD1
MA0863.1	MTF1	Q14872
MA0864.2	E2F2	Q14209
MA0865.1	E2F8	A0AVK6
MA0866.1	SOX21	Q9Y651
MA0867.2	SOX4	Q06945
MA0868.2	SOX8	P57073
MA0869.1	Sox11	Q7M6Y2
MA0870.1	Sox1	P53783
MA0871.2	TFEC	O14948
MA0872.1	TFAP2A(var.3)	P05549
MA0873.1	HOXD12	P35452
MA0874.1	Arx	O35085
MA0875.1	BARX1	Q9HBU1
MA0876.1	BSX	Q3C1V8
MA0877.2	BARHL1	Q9BZE3
MA0878.2	CDX1	P47902
MA0879.1	Dlx1	Q64317
MA0880.1	Dlx3	Q64205
MA0881.1	Dlx4	P70436
MA0882.1	DLX6	P56179
MA0883.1	Dmbx1	Q91ZK4
MA0884.1	DUXA	A6NLW8
MA0885.1	Dlx2	P40764
MA0886.1	EMX2	Q04743
MA0887.1	EVX1	P49640
MA0888.1	EVX2	Q03828
MA0889.1	GBX1	Q14549
MA0890.1	GBX2	P52951
MA0891.1	GSC2	O15499
MA0892.1	GSX1	A4IFQ3
MA0893.2	GSX2	Q9BZM3
MA0894.1	HESX1	Q9UBX0
MA0895.1	HMBOX1	Q6NT76
MA0896.1	Hmx1	O70218
MA0897.1	Hmx2	P43687
MA0898.1	Hmx3	P42581
MA0899.1	HOXA10	P31260
MA0900.2	HOXA2	O43364
MA0901.2	HOXB13	Q92826
MA0902.2	HOXB2	P14652
MA0903.1	HOXB3	P14651
MA0904.2	HOXB5	P09067
MA0905.1	HOXC10	Q9NYD6
MA0906.1	HOXC12	P31275
MA0907.1	HOXC13	P31276
MA0908.1	HOXD11	P31277
MA0909.2	HOXD13	P35453
MA0910.2	HOXD8	P13378
MA0911.1	Hoxa11	P31270
MA0912.2	HOXD3	P31249
MA0913.2	HOXD9	P28356
MA0914.1	ISL2	Q96A47
MA1099.2	HES1	Q14469
MA1100.2	ASCL1	P50553
MA1101.2	BACH2	Q9BYV9
MA1102.2	CTCFL	Q8NI51
MA1103.2	FOXK2	Q01167
MA1104.2	GATA6	Q92908
MA1105.2	GRHL2	Q6ISB3
MA1106.1	HIF1A	Q16665
MA1107.2	KLF9	Q13886
MA1108.2	MXI1	P50539
MA1109.1	NEUROD1	Q13562
MA1110.1	NR1H4	Q96RI1
MA1111.1	NR2F2	P24468
