jaspar_matrix	jaspar_id	uniprot_id	gene_name
MA0519.1	Stat5a::Stat5b	P42230	Stat5a
MA0519.1	Stat5a::Stat5b	P42232	Stat5b
MA0520.1	Stat6	P52633	Stat6
MA0521.1	Tcf12	Q61286	Tcf12
MA0522.3	TCF3	P15923	TCF3
MA0523.1	TCF7L2	Q9NQB0	TCF7L2
MA0524.2	TFAP2C	Q92754	TFAP2C
MA0525.2	TP63	Q9H3D4	TP63
MA0526.3	USF2	Q15853	USF2
MA0527.1	ZBTB33	Q86T24	ZBTB33
MA0528.2	ZNF263	O14978	ZNF263
MA0591.1	Bach1::Mafk	P97302	Bach1
MA0591.1	Bach1::Mafk	Q61827	Mafk
MA0592.3	ESRRA	P11474	ESRRA
MA0593.1	FOXP2	O15409	FOXP2
MA0594.2	HOXA9	P31269	HOXA9
MA0595.1	SREBF1	P36956	SREBF1
MA0596.1	SREBF2	Q12772	SREBF2
MA0597.1	THAP1	Q9NVV9	THAP1
MA0598.3	EHF	Q9NZC4	EHF
MA0599.1	KLF5	Q13887	KLF5
MA0600.2	RFX2	P48378	RFX2
MA0601.1	Arid3b	Q9Z1N7	Arid3b
MA0602.1	Arid5a	Q3U108	Arid5a
MA0603.1	Arntl	Q9WTL8	Arntl
MA0604.1	Atf1	P81269	Atf1
MA0605.2	ATF3	P18847	ATF3
MA0606.1	NFAT5	A0A1D5NT38	NFAT5
MA0607.1	Bhlha15	Q9QYC3	Bhlha15
MA0608.1	Creb3l2	Q8BH52	Creb3l2
MA0609.2	CREM	Q03060	CREM
MA0610.1	DMRT3	Q9NQL9	DMRT3
MA0611.1	Dux	A1JVI8	Dux
MA0612.2	EMX1	Q04741	EMX1
MA0613.1	FOXG1	P55316	FOXG1
MA0614.1	Foxj2	Q9ES18	Foxj2
MA0615.1	Gmeb1	Q9JL60	Gmeb1
MA0616.2	HES2	Q9Y543	HES2
MA0618.1	LBX1	P52954	LBX1
MA0619.1	LIN54	F1NCE0	LIN54
MA0620.3	MITF	O75030	MITF
MA0621.1	mix-a	P21711	mix-a
MA0622.1	Mlxip	Q2VPU4	Mlxip
MA0623.2	NEUROG1	Q92886	NEUROG1
MA0624.1	NFATC1	G1MTN6	NFATC1
MA0625.1	NFATC3	Q12968	NFATC3
MA0626.1	Npas2	P97460	Npas2
MA0627.2	POU2F3	Q9UKI9	POU2F3
MA0628.1	POU6F1	Q14863	POU6F1
MA0629.1	Rhox11	Q810N8	Rhox11
MA0630.1	SHOX	O15266	SHOX
MA0631.1	Six3	Q62233	Six3
MA0632.2	TCFL5	Q9UL49	TCFL5
MA0633.1	Twist2	Q9D030	Twist2
MA0634.1	ALX3	O95076	ALX3
MA0635.1	BARHL2	Q9NY43	BARHL2
MA0636.1	BHLHE41	Q9C0J9	BHLHE41
MA0637.1	CENPB	P07199	CENPB
MA0638.1	CREB3	O43889	CREB3
MA0639.1	DBP	Q10586	DBP
MA0640.2	ELF3	P78545	ELF3
MA0641.1	ELF4	Q99607	ELF4
MA0642.1	EN2	P19622	EN2
MA0643.1	Esrrg	P62509	Esrrg
MA0644.1	ESX1	Q8N693	ESX1
MA0645.1	ETV6	P41212	ETV6
MA0646.1	GCM1	Q9NP62	GCM1
MA0647.1	GRHL1	Q9NZI5	GRHL1
MA0648.1	GSC	P56915	GSC
MA0649.1	HEY2	Q9UBP5	HEY2
MA0650.2	HOXA13	P31271	HOXA13
MA0651.1	HOXC11	O43248	HOXC11
MA0652.1	IRF8	Q02556	IRF8
MA0653.1	IRF9	Q00978	IRF9
MA0654.1	ISX	Q2M1V0	ISX
MA0655.1	JDP2	Q8WYK2	JDP2
MA0656.1	JDP2(var.2)	Q8WYK2	JDP2
MA0657.1	KLF13	Q9Y2Y9	KLF13
MA0658.1	LHX6	Q9UPM6	LHX6
MA0659.2	MAFG	O15525	MAFG
MA0660.1	MEF2B	Q02080	MEF2B
MA0661.1	MEOX1	P50221	MEOX1
MA0662.1	MIXL1	Q9H2W2	MIXL1
MA0663.1	MLX	Q9UH92	MLX
MA0664.1	MLXIPL	Q9NP71	MLXIPL
MA0665.1	MSC	O60682	MSC
MA0666.1	MSX1	P28360	MSX1
MA0667.1	MYF6	P23409	MYF6
MA0668.1	NEUROD2	Q15784	NEUROD2
MA0669.1	NEUROG2	Q9H2A3	NEUROG2
MA0670.1	NFIA	Q12857	NFIA
MA0671.1	NFIX	Q14938	NFIX
MA0672.1	NKX2-3	Q8TAU0	NKX2-3
MA0673.1	NKX2-8	O15522	NKX2-8
MA0674.1	NKX6-1	P78426	NKX6-1
MA0675.1	NKX6-2	Q9C056	NKX6-2
MA0676.1	Nr2e1	Q9Y466	NR2E1
MA0677.1	Nr2f6	P43136	Nr2f6
MA0678.1	OLIG2	Q13516	OLIG2
MA0679.2	ONECUT1	Q9UBC0	ONECUT1
MA0680.1	PAX7	P23759	PAX7
MA0681.2	PHOX2B	Q99453	PHOX2B
MA0682.2	PITX1	P78337	PITX1
MA0683.1	POU4F2	Q12837	POU4F2
MA0684.2	RUNX3	Q13761	RUNX3
MA0685.1	SP4	Q02446	SP4
